Wall time,Step,Value
1531318403.915405,2606,0.38016045093536377
1531318406.1384993,2608,0.47903358936309814
1531318408.3806844,2610,0.45917025208473206
1531318410.5740814,2612,0.44317328929901123
1531318411.6905823,2613,0.39053618907928467
1531318415.0434496,2616,0.3543080687522888
1531318416.1742282,2617,0.40221133828163147
1531318418.404038,2619,0.373180627822876
1531318421.7609305,2622,0.500493049621582
1531318422.897439,2623,0.3865821063518524
1531318425.1176772,2625,0.3476502299308777
1531318432.0185301,2631,0.4436866343021393
1531318435.4722114,2634,0.326181560754776
1531318438.938361,2637,0.3746742010116577
1531318440.1551752,2638,0.4409593641757965
1531318444.9200387,2642,0.394970566034317
1531318452.0755222,2648,0.44152748584747314
1531318467.612637,2661,0.3866771459579468
1531318472.3417907,2665,0.40847957134246826
1531318474.7183976,2667,0.3945285379886627
1531318480.7816877,2672,0.4628250300884247
1531318484.4765773,2675,0.47913074493408203
1531318486.8766773,2677,0.48699748516082764
1531318491.7276413,2681,0.4653703570365906
1531318497.6896281,2686,0.47481569647789
1531318502.4966915,2690,0.4252215623855591
1531318507.2431126,2694,0.4053424298763275
1531318510.9117858,2697,0.3835032284259796
1531318528.9838836,2712,0.46369266510009766
1531318540.9401362,2722,0.4498976171016693
1531318542.1623347,2723,0.46036896109580994
1531318543.367646,2724,0.4356309175491333
1531318546.9789712,2727,0.46366581320762634
1531318548.1958761,2728,0.564042329788208
1531318554.2056966,2733,0.47850096225738525
1531318561.3209505,2739,0.4608740508556366
1531318562.5339947,2740,0.6398582458496094
1531318563.7834003,2741,0.5273271203041077
1531318565.0341616,2742,0.4928256869316101
1531318566.2617846,2743,0.4593542814254761
1531318567.5017247,2744,0.43877333402633667
1531318568.7716272,2745,0.5142302513122559
1531318578.599014,2753,0.4462631642818451
1531318606.3264337,2776,0.5533530712127686
1531318607.5045078,2777,0.5197470784187317
1531318608.6764674,2778,0.4831640124320984
1531318617.128332,2785,0.47682157158851624
1531318630.253063,2796,0.4290013611316681
1531318631.4279742,2797,0.4753515124320984
1531318632.6234858,2798,0.44049060344696045
1531318661.25471,2801,0.3578413724899292
1531318670.147867,2809,0.3694879412651062
1531318671.2970102,2810,0.41314172744750977
1531318674.653005,2813,0.3171766698360443
1531318676.8685646,2815,0.354033887386322
1531318677.9973588,2816,0.3384632170200348
1531318680.2593234,2818,0.3582943379878998
1531318693.80031,2830,0.40840885043144226
1531318696.1157289,2832,0.34192925691604614
1531318699.6139119,2835,0.4204077124595642
1531318701.9178686,2837,0.3823559582233429
1531318707.8179233,2842,0.36393845081329346
1531318711.3756757,2845,0.33831021189689636
1531318714.9163418,2848,0.3277437090873718
1531318725.7899625,2857,0.40420767664909363
1531318726.998735,2858,0.357198029756546
1531318734.1833603,2864,0.3738682270050049
1531318736.6317842,2866,0.4078749716281891
1531318737.8417675,2867,0.4044259488582611
1531318744.9886003,2873,0.47448816895484924
1531318748.5567176,2876,0.3651742935180664
1531318749.737863,2877,0.40505799651145935
1531318755.6826413,2882,0.31775036454200745
1531318758.0762575,2884,0.4101041853427887
1531318760.5057185,2886,0.37957650423049927
1531318764.1295886,2889,0.3882666826248169
1531318765.342002,2890,0.429270476102829
1531318774.8526344,2898,0.3234688937664032
1531318780.8502321,2903,0.49487799406051636
1531318783.311988,2905,0.3611244261264801
1531318784.5137465,2906,0.36483481526374817
1531318785.7250524,2907,0.4476625919342041
1531318790.5220406,2911,0.32523560523986816
1531318799.0536175,2918,0.3689890205860138
1531318803.8409147,2922,0.4205004572868347
1531318807.4793205,2925,0.425302118062973
1531318808.6591823,2926,0.35871899127960205
1531318811.0331209,2928,0.39965304732322693
1531318820.6148906,2936,0.4718005657196045
1531318826.6735373,2941,0.3940105438232422
1531318841.085529,2953,0.36713701486587524
1531318847.1101177,2958,0.47528836131095886
1531318849.5218194,2960,0.433986634016037
1531318850.712381,2961,0.41994622349739075
1531318854.3148549,2964,0.3817189931869507
1531318866.5455565,2974,0.4337395131587982
1531318873.7791433,2980,0.3721526861190796
1531318878.6242836,2984,0.4021100401878357
1531318884.6508539,2989,0.44193288683891296
1531318887.0280411,2991,0.6042019128799438
1531318889.4233007,2993,0.43322956562042236
1531318891.8536847,2995,0.39507806301116943
1531318894.271986,2997,0.4851386249065399
1531318902.5710464,2999,0.47431209683418274
1531318922.9221706,3000,0.3536902666091919
1531318924.0476058,3001,0.3101367950439453
1531318927.3961632,3004,0.27868419885635376
1531318928.4948418,3005,0.303489089012146
1531318929.59764,3006,0.2531663477420807
1531318934.090408,3010,0.27458953857421875
1531318936.311992,3012,0.3400876224040985
1531318939.6856925,3015,0.22234511375427246
1531318940.8008018,3016,0.32693615555763245
1531318943.0408447,3018,0.257598876953125
1531318944.1593878,3019,0.28315669298171997
1531318948.646582,3023,0.3209623098373413
1531318950.9415567,3025,0.25129109621047974
1531318952.0772703,3026,0.2556299865245819
1531318953.1942396,3027,0.34119948744773865
1531318957.8958547,3031,0.325101763010025
1531318960.1945353,3033,0.2774060070514679
1531318962.5784745,3035,0.35745152831077576
1531318966.0773785,3038,0.3466936945915222
1531318976.7868207,3047,0.33279648423194885
1531318980.3576367,3050,0.3254534900188446
1531318982.7288442,3052,0.29141882061958313
1531318985.187828,3054,0.3191259205341339
1531318987.613963,3056,0.254591166973114
1531318989.9901872,3058,0.3359493017196655
1531319000.763257,3067,0.3348444104194641
1531319005.4595246,3071,0.36169758439064026
1531319007.923319,3073,0.36953991651535034
1531319011.6364625,3076,0.2626055181026459
1531319021.2753096,3084,0.32141417264938354
1531319026.005849,3088,0.33007535338401794
1531319030.8712695,3092,0.3186924457550049
